Class,CBO,NOM,DIT,LCOM,RFC,WMC,WMC > 100,NOM > 40,CBO > 5,RFC > 100,RFC > 5*NOM,,CANDIDATE FOR EXAMINATION
com.ays.javachat.client.Main,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.client.manager.ClientManager,22,8,1,3,14,10,FALSE,FALSE,TRUE,FALSE,FALSE,1,
com.ays.javachat.client.screen.ClientScreen,39,47,1,11,147,119,TRUE,TRUE,TRUE,TRUE,FALSE,4,YES
com.ays.javachat.client.screen.Dialogs,8,13,1,1,49,35,FALSE,FALSE,TRUE,FALSE,FALSE,1,
com.ays.javachat.client.screen.DoubleClickImplementor,2,2,2,1,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.client.screen.OnlineList,6,15,5,5,61,31,FALSE,FALSE,TRUE,FALSE,FALSE,1,
com.ays.javachat.client.screen.PrivateRoomContainer,1,1,5,0,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.client.screen.Rooms,3,16,5,8,68,38,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.client.transmitter.ClientTransmitter,6,4,1,1,29,8,FALSE,FALSE,TRUE,FALSE,TRUE,2,
com.ays.javachat.client.transmitter.ThreadListener,2,2,2,1,7,5,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.datatypes.Data,5,2,1,2,,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.datatypes.IPPort,10,7,2,1,20,12,FALSE,FALSE,TRUE,FALSE,FALSE,1,
com.ays.javachat.common.datatypes.IgnoredUsers2,2,1,2,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.datatypes.LoginData,10,5,2,1,8,12,FALSE,FALSE,TRUE,FALSE,FALSE,1,
com.ays.javachat.common.datatypes.UserDetails,12,2,2,1,4,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,
com.ays.javachat.common.globalconsts.Net,6,1,1,1,1,21,FALSE,FALSE,TRUE,FALSE,FALSE,1,
com.ays.javachat.common.messages.ClientText,4,1,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.Connect,4,0,2,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.Disconnect,2,0,2,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.GetOnlineUsersList,4,0,2,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.GetUserDetails,4,1,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.GetUsersIgnoredByMe,4,0,2,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.IgnoreUsers,4,1,2,0,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.Login,5,1,2,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.Logout,4,0,2,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.Message,20,0,1,0,,0,FALSE,FALSE,TRUE,FALSE,FALSE,1,
com.ays.javachat.common.messages.Register,6,1,2,0,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,1,
com.ays.javachat.common.messages.ReplyClientText,4,1,3,0,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ReplyConnect,4,1,3,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ReplyDisconnect,2,0,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ReplyGetOnlineUsersList,4,1,3,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ReplyGetUserDetails,5,1,3,0,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ReplyGetUsersIgnoredByMe,4,1,3,0,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ReplyIgnoreUsers,4,1,3,0,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ReplyLogin,5,1,3,0,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ReplyLogout,4,1,3,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ReplyRegister,6,1,3,0,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,1,
com.ays.javachat.common.messages.ReplySetUserDetails,5,1,3,0,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ReplyUnregister,4,1,3,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ServerNotification,3,0,2,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.ServerText,4,0,2,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,
com.ays.javachat.common.messages.SetUserDetails,5,1,2,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,
